date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:04	110854/110854	---M--	200	added ('OK')	application/octet-stream	etag:%220b37641eb28ae3d56be885711ddd468f%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/wdJ4obz2sByw3VAk.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/wdJ4obz2sByw3VAk.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:05	84258/84258	---M--	200	added ('OK')	application/octet-stream	etag:%223f3c4486f0538ea7a32b48eb44e6c7fa%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/nsdme94hr6QUIhRI.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/nsdme94hr6QUIhRI.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:05	547784/547784	---M--	200	added ('OK')	application/octet-stream	etag:%22f546b066cbb2cca0f269f4cd85ed3c32%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/lYKhn1yHjfemORMv.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/lYKhn1yHjfemORMv.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:06	147727/147727	---M--	200	added ('OK')	application/octet-stream	etag:%22927ecdb80bfe3ddd5121c29fb4c513a9%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/pJ8ys57fQDbdBpUr.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/pJ8ys57fQDbdBpUr.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:06	197345/197345	---M--	200	added ('OK')	application/octet-stream	etag:%22f09a2d9533bbe54730034ce458d8b425%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/IMpBXWcSWUiGeA8F.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/IMpBXWcSWUiGeA8F.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:07	173589/173589	---M--	200	added ('OK')	application/octet-stream	etag:%226b74a43f0b2ad3e9771a69aec6eff498%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/lZSkvOsrd68YO6Zt.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/lZSkvOsrd68YO6Zt.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:07	1182181/1182181	---M--	200	added ('OK')	application/octet-stream	etag:%22ad38b7d8089fcafdf36a00f5a8f15ab3%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/O5N9KsVC0gzcnTFa.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/O5N9KsVC0gzcnTFa.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:08	142772/142772	---M--	200	added ('OK')	application/octet-stream	etag:%22075c79fcc97995919423c2d7076f1f57%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/2DZHm9ttnung3QjE.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/2DZHm9ttnung3QjE.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:08	120188/120188	---M--	200	added ('OK')	application/octet-stream	etag:%22a0884ebb7db409226032b6c376f69830%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/xlmEeeVdkALeGAbf.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/xlmEeeVdkALeGAbf.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:09	1050502/1050502	---M--	200	added ('OK')	application/octet-stream	etag:%221fa85f7ff84394b7491ec465a9652c62%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/Iz0SUjKtX2DjPQEF.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/Iz0SUjKtX2DjPQEF.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:09	819817/819817	---M--	200	added ('OK')	application/octet-stream	etag:%228093405882bb3f3933b0a6f5e00e7e92%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/e2SwI1DE1q2Nfd5P.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/e2SwI1DE1q2Nfd5P.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:10	489671/489671	---M--	200	added ('OK')	application/octet-stream	etag:%226337b5b65fdab156178bc8bb93fe2806%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/8Y3NONBiPVyVCtLt.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/8Y3NONBiPVyVCtLt.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:10	986989/986989	---M--	200	added ('OK')	application/octet-stream	etag:%2263e9f81f27f9527e4e556b26da3920a9%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/TeLNUNvxLrTp2NLA.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/TeLNUNvxLrTp2NLA.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:11	64806/64806	---M--	200	added ('OK')	application/octet-stream	etag:%2202e24744a231ed2792878707e3b2e342%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/lQWfNtNmyyPHA9dZ.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fefb17523df1100042ab8c9/lQWfNtNmyyPHA9dZ.png	(from https://junqianliang.me/p/runningsun.liang/042ab8c9)
15:12:12	1274655/1274655	---M--	200	added ('OK')	application/octet-stream	etag:%22bd4489389580e3339498fb0aace7c9c9%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fb2a24190610500048a0f94/3rtmQpHKxIVNuJRP.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fb2a24190610500048a0f94/3rtmQpHKxIVNuJRP.png	(from https://junqianliang.me/p/runningsun.liang/048a0f94)
15:12:12	24652/24652	---M--	200	added ('OK')	application/octet-stream	etag:%224686806b15c10c61b42f1a9ab94d01ea%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fb2a24190610500048a0f94/wcaBAfN9nlBSR5Ql.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fb2a24190610500048a0f94/wcaBAfN9nlBSR5Ql.png	(from https://junqianliang.me/p/runningsun.liang/048a0f94)
15:12:12	356877/356877	---M--	200	added ('OK')	application/octet-stream	etag:%2281404cb79db8db11d489856aba754888%22	https://storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fb2a24190610500048a0f94/d8dzoMYPpwYj3HRS.png	C:/My%20Web%20Sites/joyce_uxfolio/storage.googleapis.com/uxfolio/5f85e9dd423ec800041268d5/5fb2a24190610500048a0f94/d8dzoMYPpwYj3HRS.png	(from https://junqianliang.me/p/runningsun.liang/048a0f94)
